Month:Day:Hr:Min:Sec:MSec,Packet number,Element 1, Element 2, Element 3, Element 4
9:30:16:0:30:784,2371,0.2476184,0.6920742,-0.6684538,-0.1135248
9:30:16:0:30:843,2378,0.2475601,0.6919599,-0.6685833,-0.1135871
9:30:16:0:30:913,2387,0.2475608,0.6918397,-0.6687072,-0.1135874
9:30:16:0:30:972,2394,0.2475615,0.6917196,-0.6688311,-0.1135878
9:30:16:0:31:31,2401,0.2475018,0.6915402,-0.6690179,-0.1137105
9:30:16:0:31:90,2409,0.2474951,0.6915216,-0.6690608,-0.1135853
9:30:16:0:31:150,2416,0.2474955,0.6914615,-0.6691228,-0.1135855
9:30:16:0:31:209,2423,0.2474358,0.691282,-0.6693094,-0.1137081
9:30:16:0:31:268,2430,0.2474451,0.6911252,-0.6694569,-0.1137735
9:30:16:0:31:327,2438,0.247434,0.6909719,-0.6696097,-0.1138294
9:30:16:0:31:387,2445,0.2473742,0.6907923,-0.6697963,-0.113952
9:30:16:0:31:446,2452,0.2473821,0.6905702,-0.6700009,-0.1140778
9:30:16:0:31:506,2460,0.2473733,0.6902404,-0.6702821,-0.1144399
9:30:16:0:31:565,2467,0.247318,0.6901954,-0.6703588,-0.1143815
9:30:16:0:31:624,2474,0.2473082,0.690107,-0.6704543,-0.114377
9:30:16:0:31:693,2483,0.2472529,0.6900621,-0.6705309,-0.1143186
9:30:16:0:31:752,2490,0.2472521,0.6898766,-0.6707116,-0.1143793
9:30:16:0:31:812,2497,0.2471921,0.6896966,-0.6708978,-0.1145018
9:30:16:0:31:871,2504,0.2471337,0.6895818,-0.6710269,-0.1145641
9:30:16:0:31:930,2512,0.247127,0.6895631,-0.6710698,-0.1144389
9:30:16:0:32:49,2525,0.2471397,0.6894154,-0.6712263,-0.1143837
9:30:16:0:32:108,2533,0.2470798,0.6892353,-0.6714123,-0.1145063
